month,ticker,forward_return,execution_date_start,execution_date_end,label
2020-01,A,-0.038314316659459835,2020-02-04,2020-03-03,0.8433734939759037
2020-01,AAL,-0.37214209673363696,2020-02-04,2020-03-03,0.006024096385542169
2020-01,AAPL,-0.0904601418054134,2020-02-04,2020-03-03,0.5150602409638554
2020-01,ABBV,0.03805100825934704,2020-02-04,2020-03-03,0.9728915662650602
2020-01,ABMD,,2020-02-04,2020-03-03,
2020-01,ABT,-0.11606026456945184,2020-02-04,2020-03-03,0.35843373493975905
2020-01,ACN,-0.14261508761887398,2020-02-04,2020-03-03,0.21686746987951808
2020-01,ADBE,-0.05017176851841376,2020-02-04,2020-03-03,0.7710843373493976
2020-01,ADI,-0.04159799182422941,2020-02-04,2020-03-03,0.8283132530120482
2020-01,ADM,-0.15452014212066068,2020-02-04,2020-03-03,0.1746987951807229
2020-01,ADP,-0.117553500406535,2020-02-04,2020-03-03,0.3433734939759036
2020-01,ADSK,-0.11469059090733602,2020-02-04,2020-03-03,0.3614457831325301
2020-01,AEE,0.0108187017602559,2020-02-04,2020-03-03,0.9397590361445783
2020-01,AEP,-0.0657341489750426,2020-02-04,2020-03-03,0.677710843373494
2020-01,AIV,-0.06222666275473365,2020-02-04,2020-03-03,0.6987951807228916
2020-01,AJG,-0.0382997447732476,2020-02-04,2020-03-03,0.8463855421686747
2020-01,AKAM,-0.05187988214740935,2020-02-04,2020-03-03,0.7530120481927711
2020-01,ALB,-0.08448525838446763,2020-02-04,2020-03-03,0.5843373493975904
2020-01,ALGN,-0.1245906472160917,2020-02-04,2020-03-03,0.3102409638554217
2020-01,ALXN,,2020-02-04,2020-03-03,
2020-01,AMAT,-0.07597351641985695,2020-02-04,2020-03-03,0.6204819277108434
2020-01,AMCR,-0.1072683429016611,2020-02-04,2020-03-03,0.4066265060240964
2020-01,AMD,-0.05460062125950427,2020-02-04,2020-03-03,0.7409638554216867
2020-01,AME,-0.11895892521727425,2020-02-04,2020-03-03,0.3313253012048193
2020-01,AMGN,-0.0718584133201754,2020-02-04,2020-03-03,0.6475903614457831
2020-01,AMP,-0.18439870060516084,2020-02-04,2020-03-03,0.0783132530120482
2020-01,AMZN,-0.06863540711830673,2020-02-04,2020-03-03,0.6596385542168675
2020-01,ANET,-0.1710617589111404,2020-02-04,2020-03-03,0.11746987951807229
2020-01,ANSS,,2020-02-04,2020-03-03,
2020-01,AON,-0.05224138930023825,2020-02-04,2020-03-03,0.7469879518072289
2020-01,AOS,-0.09558307402959809,2020-02-04,2020-03-03,0.4879518072289157
2020-01,APA,-0.1119402819513633,2020-02-04,2020-03-03,0.3855421686746988
2020-01,APH,-0.10468023463781018,2020-02-04,2020-03-03,0.42771084337349397
2020-01,APTV,-0.1098221434847072,2020-02-04,2020-03-03,0.39759036144578314
2020-01,ARE,-0.05983679355055049,2020-02-04,2020-03-03,0.713855421686747
2020-01,ARNC,,2020-02-04,2020-03-03,
2020-01,ATO,-0.08670640514554695,2020-02-04,2020-03-03,0.5542168674698795
2020-01,ATVI,,2020-02-04,2020-03-03,
2020-01,AVB,-0.045892949775168335,2020-02-04,2020-03-03,0.8042168674698795
2020-01,AVGO,-0.11986537031091282,2020-02-04,2020-03-03,0.32228915662650603
2020-01,AVY,-0.1338482962835592,2020-02-04,2020-03-03,0.2620481927710843
2020-01,AWK,-0.02174239429785252,2020-02-04,2020-03-03,0.8765060240963856
2020-01,AZO,-0.02428085901721666,2020-02-04,2020-03-03,0.8674698795180723
2020-01,BA,-0.11212933076068399,2020-02-04,2020-03-03,0.37650602409638556
2020-01,BAX,-0.05218761143306827,2020-02-04,2020-03-03,0.75
2020-01,BBY,-0.11696844148927787,2020-02-04,2020-03-03,0.3463855421686747
2020-01,BDX,-0.15802435278033045,2020-02-04,2020-03-03,0.16566265060240964
2020-01,BEN,-0.08561368988477713,2020-02-04,2020-03-03,0.5783132530120482
2020-01,BKNG,-0.0973391335416477,2020-02-04,2020-03-03,0.4819277108433735
2020-01,BKR,-0.2243076764597597,2020-02-04,2020-03-03,0.0391566265060241
2020-01,BLK,-0.09933866975287442,2020-02-04,2020-03-03,0.47289156626506024
2020-01,BMY,-0.07917233111576283,2020-02-04,2020-03-03,0.6054216867469879
